CDD_ID_A,CDD_ID_D,CDD_ID_DATE,APPELLAN,APPELANT TYPE,APPELLEE,APPELEE TYPE,,
6-44-0800091,NA,6-44-0800091-2010-02-10,UNITED STATES FOREST,FED,FOREST SERVICE EMPLO,CIVIC,,UNITED STATES FOREST v. FOREST SERVICE EMPLO
6-46-8900503,NA,6-46-8900503-1989-10-16,CPC,FED,USA ET AL,FED,,CPC v. USA ET AL
9-76-1100127,NA,9-76-1100127-2011-03-29,FEDERAL RESOURCES CO,FED,UNITED STATES OF AME,FED,,FEDERAL RESOURCES CO v. UNITED STATES OF AME
9-76-1100127,NA,9-76-1100127-2011-03-29,FEDERAL RESOURCES CO,FED,UNITED STATES OF AME,FED,,FEDERAL RESOURCES CO v. UNITED STATES OF AME
9-76-1100127,NA,9-76-1100127-2011-03-29,FEDERAL RESOURCES CO,FED,UNITED STATES OF AME,FED,,FEDERAL RESOURCES CO v. UNITED STATES OF AME
1-01-9611014,NA,1-01-9611014-1996-05-15,UNITED,FED,BABBITT,FED,,UNITED v. BABBITT
9-78-7300125,NA,9-78-7300125-1984-05-21,UNITED STATES OF AME,FED,UNITED STATES BOARD,FED,,UNITED STATES OF AME v. UNITED STATES BOARD
9-76-0003623,NA,9-76-0003623-1989-09-05,EPA,FED,BUNKER,IND,,EPA v. BUNKER
6-45-7974681,NA,6-45-7974681-1979-12-12,EPA ET AL,FED,ALLEN ET AL,IND,,EPA ET AL v. ALLEN ET AL
7-52-8707419,NA,7-52-8707419-1987-08-24,SULLIVAN ET AL,FED,JONES ET AL,IND,,SULLIVAN ET AL v. JONES ET AL
9-71-8508615,NA,9-71-8508615-1985-11-25,USA,FED,LESLIE ET AL,IND,,USA v. LESLIE ET AL
5-42-8800025,NA,5-42-8800025-1988-04-29,USA,FED,REYES-RUIZ,IND,,USA v. REYES-RUIZ
6-45-7974681,NA,6-45-7974681-1979-12-12,USA ET AL,FED,ALLEN ET AL,IND,,USA ET AL v. ALLEN ET AL
9-71-1003270,NA,9-71-1003270-2010-07-26,FEDERAL HOUSING FINA,FED,COUNTY OF SONOMA,LOC,,FEDERAL HOUSING FINA v. COUNTY OF SONOMA
6-45-8972937,NA,6-45-8972937-1989-10-04,USA ET AL,FED,DETROIT,LOC,,USA ET AL v. DETROIT
6-45-8672910,NA,6-45-8672910-1986-07-07,ADAMKUS ET AL,FED,GREATER ET AL,NGO,,ADAMKUS ET AL v. GREATER ET AL
9-76-1600083,NA,9-76-1600083-2016-02-25,BERNHARDT,FED,WESTERN WATERSHEDS P,NGO,,BERNHARDT v. WESTERN WATERSHEDS P
9-76-1800187,NA,9-76-1800187-2018-04-30,BERNHARDT,FED,WESTERN WATERSHEDS P,NGO,,BERNHARDT v. WESTERN WATERSHEDS P
9-71-0302509,NA,9-71-0302509-2006-05-28,BLM ET AL,FED,CENTER ET AL,NGO,,BLM ET AL v. CENTER ET AL
9-79-2001395,NA,9-79-2001395-2020-08-17,BUREAU OF LAND MANAG,FED,CASCADIA WILDLANDS,NGO,,BUREAU OF LAND MANAG v. CASCADIA WILDLANDS
9-76-0900507,NA,9-76-0900507-2009-01-05,BUREAU OF LAND MANAG,FED,WESTERN WATERSHEDS P,NGO,,BUREAU OF LAND MANAG v. WESTERN WATERSHEDS P
10-84-9901320,NA,10-84-9901320-1999-11-15,BUREAU OF RECLAMATIO,FED,RIO GRANDE SILVERY M,NGO,,BUREAU OF RECLAMATIO v. RIO GRANDE SILVERY M
9-76-9200189,NA,9-76-9200189-1992-05-13,DOD,FED,GREATER ET AL,NGO,,DOD v. GREATER ET AL
8-66-9804282,NA,8-66-9804282-1998-11-12,EPA ET AL,FED,MO ET AL,NGO,,EPA ET AL v. MO ET AL
4-17-1500029,NA,4-17-1500029-2015-01-21,FEDERAL HIGHWAY ADMI,FED,CATAWBA RIVERKEEPER,NGO,,FEDERAL HIGHWAY ADMI v. CATAWBA RIVERKEEPER
5-41-0501214,NA,5-41-0501214-2005-04-11,GUTIERREZ ET AL,FED,COASTAL ET AL,NGO,,GUTIERREZ ET AL v. COASTAL ET AL
0-90-2000798,NA,0-90-2000798-2020-03-23,HAALAND,FED,BUFFALO FIELD CAMPAI,NGO,,HAALAND v. BUFFALO FIELD CAMPAI
9-76-1800187,NA,9-76-1800187-2018-04-30,HAALAND,FED,WESTERN WATERSHEDS P,NGO,,HAALAND v. WESTERN WATERSHEDS P
10-88-8700120,NA,10-88-8700120-1987-02-18,HODEL ET AL,FED,SIERRA ET AL,NGO,,HODEL ET AL v. SIERRA ET AL
9-77-0500099,NA,9-77-0500099-2005-06-08,KEMPTHORNE ET AL,FED,DEFENDERS ET A,NGO,,KEMPTHORNE ET AL v. DEFENDERS ET A
8-64-8600757,NA,8-64-8600757-1986-08-27,LUJAN,FED,DEFENDERS/WLDL,NGO,,LUJAN v. DEFENDERS/WLDL
8-64-8600757,NA,8-64-8600757-1986-08-27,LUJAN ET AL,FED,DEFENDERS,NGO,,LUJAN ET AL v. DEFENDERS
8-64-8600757,NA,8-64-8600757-1986-08-27,LUJAN ET AL,FED,DEFENDERS,NGO,,LUJAN ET AL v. DEFENDERS
0-90-8900136,NA,0-90-8900136-1990-01-19,LUJAN MANUEL JR.,FED,NAT'L. WILDLIFE,NGO,,LUJAN MANUEL JR. v. NAT'L. WILDLIFE
9-79-0100640,NA,9-79-0100640-2001-05-03,NATIONAL MARINE FISH,FED,NATIONAL WILDLIFE FE,NGO,,NATIONAL MARINE FISH v. NATIONAL WILDLIFE FE
9-79-0100640,NA,9-79-0100640-2001-05-03,NATIONAL MARINE FISH,FED,NATIONAL WILDLIFE FE,NGO,,NATIONAL MARINE FISH v. NATIONAL WILDLIFE FE
9-79-0100640,NA,9-79-0100640-2001-05-03,NATIONAL MARINE FISH,FED,NATIONAL WILDLIFE FE,NGO,,NATIONAL MARINE FISH v. NATIONAL WILDLIFE FE
9-79-0100640,NA,9-79-0100640-2001-05-03,NATIONAL MARINE FISH,FED,NATIONAL WILDLIFE FE,NGO,,NATIONAL MARINE FISH v. NATIONAL WILDLIFE FE
9-81-8900099,NA,9-81-8900099-1989-02-08,ROBERTSON,FED,SEATTLE ET AL,NGO,,ROBERTSON v. SEATTLE ET AL
9-81-8900099,NA,9-81-8900099-1989-02-08,ROBERTSON ET AL,FED,SEATTLE ET AL,NGO,,ROBERTSON ET AL v. SEATTLE ET AL
9-79-9201322,NA,9-79-9201322-1992-10-28,THOMAS ET AL,FED,PACIFIC ET AL,NGO,,THOMAS ET AL v. PACIFIC ET AL
9-76-9400159,NA,9-76-9400159-1994-04-13,THOMAS ET AL,FED,PACIFIC ET AL,NGO,,THOMAS ET AL v. PACIFIC ET AL
